entrez_id,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
266743,NPAS4,63.77954589,-3.966427912,0.337753541,-11.74355685,7.62E-32,1.81E-27
2354,FOSB,229.7747087,-2.456501247,0.236060251,-10.40624689,2.32E-25,2.76E-21
1961,EGR4,164.0759471,-2.197827904,0.259669766,-8.463934543,2.59E-17,2.05E-13
1958,EGR1,624.5348806,-1.624026145,0.196596798,-8.260694807,1.45E-16,8.60E-13
23237,ARC,451.1377874,-1.324909831,0.180150196,-7.354473424,1.92E-13,9.11E-10
27129,HSPB7,81.84000145,1.012609053,0.14606851,6.932425423,4.14E-12,1.40E-08
140876,RIPOR3,330.4782854,1.261551614,0.18161919,6.946136102,3.75E-12,1.40E-08
6539,SLC6A12,1820.638247,0.934425788,0.136263617,6.857485593,7.01E-12,2.08E-08
80332,ADAM33,589.3988956,0.937898172,0.139606688,6.718146447,1.84E-11,3.97E-08
85301,COL27A1,556.2827176,0.722570048,0.109406198,6.604470843,3.99E-11,6.77E-08
25959,KANK2,1130.108591,0.747468027,0.113616071,6.578893444,4.74E-11,7.51E-08
2159,F10,38.37006872,0.740485087,0.113231698,6.539556514,6.17E-11,7.74E-08
146705,TEPSIN,486.5491087,0.502256834,0.076678125,6.550197142,5.75E-11,7.74E-08
105378083,TAGAP-AS1,52.76443145,-0.529718002,0.081650634,-6.4876165,8.72E-11,9.42E-08
8013,NR4A3,135.5422725,-1.295317829,0.199463946,-6.493994795,8.36E-11,9.42E-08
2570,GABRR2,48.41513837,1.222927305,0.189193866,6.46388455,1.02E-10,1.01E-07
1278,COL1A2,400.6220513,1.055495671,0.163599763,6.451694378,1.11E-10,1.01E-07
266727,MDGA1,480.5371475,0.548090926,0.085509322,6.409721321,1.46E-10,1.28E-07
116985,ARAP1,2630.404422,0.501559828,0.078468345,6.391874716,1.64E-10,1.39E-07
8515,ITGA10,306.5230778,0.989696879,0.155287608,6.37331525,1.85E-10,1.46E-07
100507616,LINC02397,15.31557662,1.840823781,0.290081438,6.345886166,2.21E-10,1.59E-07
100507103,LINC02937,60.52351592,0.660837057,0.104561351,6.320089128,2.61E-10,1.77E-07
126272,EID2B,231.1480935,-0.665811555,0.105572452,-6.306678912,2.85E-10,1.85E-07
